ID;TERMS (PT-NPT);RELATIONS;PT;MT
8534;Dolj;;;7211 regions of EU Member States
496;Dominica;;;7216 America
496;Dominica;;;7231 economic geography
496;Dominica;;;7236 political geography
3415;Dominican Republic;;;7216 America
3415;Dominican Republic;;;7231 economic geography
3415;Dominican Republic;;;7236 political geography
5331;Dormobile;USE;camping vehicle;4811 organisation of transport
4068;Draft Treaty on European Union;USE;Treaty on European Union;1011 European Union law
511;Drenthe;;;7211 regions of EU Member States
3717;Dublin Foundation;USE;Eurofound;1006 EU institutions and European civil service
4342;Dutch Guyana;USE;Surinam;7216 America
4342;Dutch Guyana;USE;Surinam;7231 economic geography
4342;Dutch Guyana;USE;Surinam;7236 political geography
8523;Dâmbovita;;;7211 regions of EU Member States
c_28750470;E.coli infection;USE;food-borne disease;2841 health
5107;EAC;USE;East African Community;7616 extra-European organisations
8365;EAC countries;;;7231 economic geography
441001;EACEA ;USE;executive agency;1006 EU institutions and European civil service
441001;EACI ;USE;executive agency;1006 EU institutions and European civil service
168;EADI;;;7611 European organisations
168;EADI;;;7626 non-governmental organisations
5344;EAEC;;;1016 European construction
350;EAEC Decision;;;1016 European construction
4019;EAEC Directive;;;1016 European construction
4037;EAEC Joint Undertaking;;;1016 European construction
3106;EAEC Regulation;;;1016 European construction
388;EAEC Supply Agency;USE;Euratom Supply Agency;1016 European construction
4482;EAEC Treaty;;;1011 European Union law
4024;EAEC opinion;;;1016 European construction
2931;EAEC recommendation;;;1016 European construction
3715;EAES;USE;European Atomic Energy Society;7611 European organisations
450658;EAFRD;;;1021 EU finance
450652;EAGF;;;1021 EU finance
978;EAGGF;;;1021 EU finance
5866;EAGGF monetary reserve;USE;budgetary reserve (EU);1021 EU finance
3080;EAGLEs;USE;newly industrialised country;1611 economic conditions
441001;EAHC ;USE;executive agency;1006 EU institutions and European civil service
421;EANPC;USE;European Association of National Productivity Centres;7611 European organisations
5478;EAPC;USE;Euro-Atlantic Partnership Council;7621 world organisations
7221;EAR;USE;European Agency for Reconstruction;1006 EU institutions and European civil service
7937;EASA;USE;European Aviation Safety Agency;1006 EU institutions and European civil service
441001;EASME;USE;executive agency;1006 EU institutions and European civil service
447958;EASO;USE;European Asylum Support Office;1006 EU institutions and European civil service
c_047e5912;EBA;USE;European Banking Authority;1006 EU institutions and European civil service
2359;EBIC;USE;small and medium-sized enterprises;4011 business classification
5460;EBRD;;;7611 European organisations
8488;EBU (European Barge Union);USE;European Barge Union;7611 European organisations
3720;EBU (European Broadcasting Union);USE;European Broadcasting Union;7611 European organisations
116;EC Association Council;USE;Association Council (EU);1016 European construction
4038;EC Commission;USE;European Commission;1006 EU institutions and European civil service
114;EC Council;USE;Council of the European Union;1006 EU institutions and European civil service
5806;EC Council Presidency;USE;EU Council Presidency;1006 EU institutions and European civil service
6053;EC Council committee;USE;EU Council committee;1006 EU institutions and European civil service
256;EC Court of Auditors;USE;European Court of Auditors;1006 EU institutions and European civil service
5328;EC Court of First Instance;USE;General Court (EU);1006 EU institutions and European civil service
255;EC Court of Justice;USE;Court of Justice of the European Union;1006 EU institutions and European civil service
6054;EC ESC;USE;European Economic and Social Committee;1006 EU institutions and European civil service
6054;EC Economic and Social Committee;USE;European Economic and Social Committee;1006 EU institutions and European civil service
5611;EC Institutional balance;USE;institutional balance (EU);1006 EU institutions and European civil service
5524;EC Intergovernmental Conference;USE;intergovernmental conference (EU);1011 European Union law
5543;EC Intergovernmental Convention;USE;Intergovernmental Convention (EU);1016 European construction
2140;EC Mediator;USE;European Ombudsman;1006 EU institutions and European civil service
3073;EC Mediterranean region;USE;Mediterranean region (EU);1616 regions and regional policy
4032;EC Merger Treaty;USE;Merger Treaty;1011 European Union law
973;EC Monetary Cooperation Fund;USE;European Monetary Cooperation Fund;2406 monetary relations
1058;EC Monetary Fund;USE;European Monetary Fund;2406 monetary relations
3032;EC Official Journal;USE;EU Official Journal;3221 documentation
2140;EC Ombudsman;USE;European Ombudsman;1006 EU institutions and European civil service
4031;EC Protocol;USE;Protocol (EU);1011 European Union law
5258;EC act;USE;EU act;1011 European Union law
3978;EC action to establish liability;;;1221 justice
5577;EC administrative expenditure;USE;administrative expenditure (EU);1021 EU finance
6050;EC advisory committee;USE;advisory committee (EU);1006 EU institutions and European civil service
1474;EC agreement;USE;agreement (EU);1016 European construction
978;EC agricultural fund;USE;EAGGF;1021 EU finance
6048;EC agriculture committee;USE;EU agriculture committee;5606 agricultural policy
4048;EC association agreement;USE;association agreement (EU);1016 European construction
5251;EC auxiliary staff;USE;servant (EU);1006 EU institutions and European civil service
1048;EC basic post;USE;European official;1006 EU institutions and European civil service
5590;EC budgetary discipline;USE;budgetary discipline (EU);1021 EU finance
5576;EC budgetary expenditure;USE;EU expenditure;1021 EU finance
5866;EC budgetary reserve;USE;budgetary reserve (EU);1021 EU finance
1551;EC case law;USE;case law (EU);1011 European Union law
1551;EC case-law;USE;case law (EU);1011 European Union law
6049;EC committee;USE;committee (EU);1006 EU institutions and European civil service
36;EC competence;USE;EU competence;1011 European Union law
4071;EC competition;USE;competition (EU);1006 EU institutions and European civil service
5726;EC conformity marking;;;6411 technology and technical regulations
5404;EC cooperation agreement;USE;cooperation agreement (EU);1016 European construction
5283;EC country;USE;EU Member State;7231 economic geography
3178;EC customs territory;USE;customs territory (EU);2011 tariff policy
4030;EC external competence;USE;external competence (EU);1011 European Union law
4040;EC external relations;USE;EU relations;1016 European construction
2639;EC farm price;USE;farm prices;2451 prices
5315;EC framework programme;USE;EU programme;1016 European construction
1052;EC fund;USE;fund (EU);1021 EU finance
5158;EC general budget;USE;general budget (EU);1021 EU finance
5814;EC infringement procedure;USE;infringement procedure (EU);1011 European Union law
5814;EC infringement proceedings;USE;infringement procedure (EU);1011 European Union law
5769;EC institutional body;USE;EU office or agency;1006 EU institutions and European civil service
5407;EC interim agreement;USE;interim agreement (EU);1016 European construction
5548;EC interinstitutional cooperation;USE;interinstitutional cooperation (EU);1006 EU institutions and European civil service
5854;EC interinstitutional relations;USE;interinstitutional relations (EU);1006 EU institutions and European civil service
4071;EC internal competition;USE;competition (EU);1006 EU institutions and European civil service
3299;EC internal market;USE;single market;1016 European construction
5763;EC joint body;USE;joint body (EU);1016 European construction
5509;EC joint committee;USE;joint committee (EU);1006 EU institutions and European civil service
8542;EC language service;USE;administrator;1006 EU institutions and European civil service
2324;EC limited period;USE;transitional period (EU);1016 European construction
5251;EC local staff;USE;servant (EU);1006 EU institutions and European civil service
5506;EC management committee;USE;management committee (EU);1006 EU institutions and European civil service
4071;EC open competition;USE;competition (EU);1006 EU institutions and European civil service
5577;EC operating budget;USE;administrative expenditure (EU);1021 EU finance
5579;EC operational expenditure;USE;operational expenditure (EU);1021 EU finance
3560;EC own resources;USE;own resources;1021 EU finance
5772;EC participation in a cultural event;USE;EU sponsorship;1016 European construction
5772;EC participation in a sporting event;USE;EU sponsorship;1016 European construction
5873;EC participation in an international meeting;USE;the EU's international role;1016 European construction
2809;EC proposal;USE;proposal (EU);1011 European Union law
1056;EC regional fund;USE;European Regional Development Fund;1021 EU finance
5507;EC regulatory committee;USE;regulatory committee (EU);1006 EU institutions and European civil service
5873;EC representation in an international organisation;USE;the EU's international role;1016 European construction
5578;EC research expenditure;USE;research expenditure (EU);1021 EU finance
3484;EC resolution;USE;resolution (EU);1011 European Union law
5769;EC satellite body;USE;EU office or agency;1006 EU institutions and European civil service
6059;EC scientific committee;USE;scientific committee (EU);1006 EU institutions and European civil service
5251;EC scientific staff;USE;servant (EU);1006 EU institutions and European civil service
4018;EC secondary legislation;USE;secondary legislation;1011 European Union law
5251;EC servants;USE;servant (EU);1006 EU institutions and European civil service
5769;EC specialised body;USE;EU office or agency;1006 EU institutions and European civil service
1048;EC staff;USE;European official;1006 EU institutions and European civil service
8542;EC staff in category LA;USE;administrator;1006 EU institutions and European civil service
6057;EC standing committee;USE;standing committee (EU);1006 EU institutions and European civil service
6060;EC technical committee;USE;technical committee (EU);1006 EU institutions and European civil service
1474;EC third country convention;USE;agreement (EU);1016 European construction
5403;EC trade agreement;USE;trade agreement (EU);1016 European construction
2324;EC transitional measures;USE;transitional period (EU);1016 European construction
2324;EC transitional period;USE;transitional period (EU);1016 European construction
256;ECA;USE;European Court of Auditors;1006 EU institutions and European civil service
8386;ECA;USE;UN regional commission;7606 United Nations
5284;ECAC;USE;European Civil Aviation Conference;7611 European organisations
5455;ECB;USE;European Central Bank;1006 EU institutions and European civil service
445259;ECB opinion;USE;European Central Bank opinion;1011 European Union law
6711;ECC-Net;USE;European Consumer Centres Network;2026 consumption
6159;ECCAS;USE;Economic Community of Central African States;7616 extra-European organisations
7983;ECDC;USE;European Centre for Disease Prevention and Control;1006 EU institutions and European civil service
8386;ECE;USE;UN regional commission;7606 United Nations
7984;ECHA;USE;European Chemicals Agency;1006 EU institutions and European civil service
6255;ECHO;;;1006 EU institutions and European civil service
257;ECHR;USE;European Court of Human Rights;7611 European organisations
5326;ECHR (European Convention on Human Rights);USE;European Convention on Human Rights;0806 international affairs
c_c4c48e5c;ECI;USE;European citizens' initiative;1016 European construction
8386;ECLAC;USE;UN regional commission;7606 United Nations
5347;ECMT;USE;European Conference of Ministers of Transport;7621 world organisations
8395;ECPRD;USE;European Centre for Parliamentary Research and Documentation;7611 European organisations
5327;ECSC;;;1016 European construction
4480;ECSC Treaty;;;1011 European Union law
852;ECSC aid;;;1606 economic policy
5327;ECSC consultative committee;USE;ECSC;1016 European construction
352;ECSC general Decision;;;1016 European construction
353;ECSC individual Decision;;;1016 European construction
2592;ECSC levy;;;1021 EU finance
2608;ECSC loan;;;1021 EU finance
5057;ECSC operating budget;;;1021 EU finance
4026;ECSC opinion;;;1016 European construction
2930;ECSC recommendation;;;1016 European construction
448275;ECSEL Joint Undertaking;USE;European Joint Undertaking;1006 EU institutions and European civil service
7982;EDA;USE;European Defence Agency;1016 European construction
c_667f2c16;EDC;USE;endocrine disruptor;5216 deterioration of the environment
4055;EDF;;;0811 cooperation policy
c_c565cff5;EDIS;USE;EU banking union;2411 monetary economics
6189;EDM;USE;electronic document management;3221 documentation
6189;EDMS;USE;electronic document management;3221 documentation
7927;EDPS;USE;European Data Protection Supervisor;1006 EU institutions and European civil service
5310;EEA;USE;European Environment Agency;1006 EU institutions and European civil service
5618;EEA;USE;European Economic Area;1016 European construction
5531;EEA Council;;;1016 European construction
5504;EEA Joint Committee;;;1016 European construction
5505;EEA Joint Consultative Committee;;;1016 European construction
5681;EEA joint institution;;;1016 European construction
5510;EEA joint parliamentary committee;;;1016 European construction
447472;EEAS;USE;European External Action Service;1006 EU institutions and European civil service
5343;EEC;USE;European Community;1016 European construction
4481;EEC Treaty;;;1011 European Union law
5658;EEIG;USE;European Economic Interest Grouping;4016 legal form of organisations
6711;EEJ-Net;USE;European Consumer Centres Network;2026 consumption
6054;EESC;USE;European Economic and Social Committee;1006 EU institutions and European civil service
5129;EESC opinion;USE;ESC opinion;1011 European Union law
4791;EEZ;USE;exclusive economic zone;1231 international law
c_2d0e694e;EFC;USE;Economic and Financial Committee;2411 monetary economics
8284;EFCA;USE;European Fisheries Control Agency;1006 EU institutions and European civil service
450898;EFI;USE;European Forest Institute;7611 European organisations
6327;EFICS;;;5636 forestry
3717;EFILWC;USE;Eurofound;1006 EU institutions and European civil service
7126;EFSA;USE;European Food Safety Authority;1006 EU institutions and European civil service
c_d08207d1;EFSI;USE;European Fund for Strategic Investments;1021 EU finance
176;EFTA;;;7611 European organisations
6101;EFTA Court;;;7611 European organisations
6101;EFTA Court of Justice;USE;EFTA Court;7611 European organisations
176;EFTA Surveillance Authority;USE;EFTA;7611 European organisations
187;EFTA countries;;;7231 economic geography
c_e749c083;EFTS;USE;payment system;2421 free movement of capital
8549;EGF;USE;European Globalisation Adjustment Fund;4406 employment
c_165899a6;EGSS;USE;environmental industry;5206 environmental policy
4838;EIB;USE;European Investment Bank;1006 EU institutions and European civil service
2607;EIB loan;;;1021 EU finance
5645;EIF;USE;European Investment Fund;1006 EU institutions and European civil service
1200;EIG;USE;Economic Interest Grouping;4016 legal form of organisations
447756;EIGE;USE;European Institute for Gender Equality;1006 EU institutions and European civil service
c_f5ed5adb;EIOPA;USE;European Insurance and Occupational Pensions Authority;1006 EU institutions and European civil service
5679;EIPA;USE;European Institute of Public Administration;7611 European organisations
447795;EIT;USE;European Institute of Innovation and Technology;1006 EU institutions and European civil service
2829;ELDO;USE;European Space Agency;7611 European organisations
6161;ELEC;USE;European League for Economic Cooperation;7611 European organisations
6161;ELEC;USE;European League for Economic Cooperation;7626 non-governmental organisations
1002;ELTIF;USE;long-term financing;2426 financing and investment
4437;EMA;USE;European Monetary Agreement;2406 monetary relations
5426;EMA;USE;European Medicines Agency;1006 EU institutions and European civil service
3140;EMAS;USE;environmental monitoring;5206 environmental policy
5757;EMCDDA;USE;European Monitoring Centre for Drugs and Drug Addiction;1006 EU institutions and European civil service
973;EMCF;USE;European Monetary Cooperation Fund;2406 monetary relations
1058;EMF;USE;European Monetary Fund;2406 monetary relations
c_4e3beee2;EMFF;USE;European Maritime and Fisheries Fund;1021 EU finance
4370;EMS;USE;European Monetary System;2406 monetary relations
5729;EMS exchange-rate mechanism;;;2406 monetary relations
7936;EMSA;USE;European Maritime Safety Agency;1006 EU institutions and European civil service
4602;EMU;USE;Economic and Monetary Union;2411 monetary economics
428;ENEA;USE;Nuclear Energy Agency;7621 world organisations
448275;ENIAC Joint Undertaking;USE;European Joint Undertaking;1006 EU institutions and European civil service
7938;ENISA;USE;European Union Agency for Cybersecurity;1006 EU institutions and European civil service
7932;ENP;USE;European neighbourhood policy;1016 European construction
437422;ENPI;USE;European Neighbourhood and Partnership Instrument;1021 EU finance
2243;EP;USE;European Parliament;1006 EU institutions and European civil service
19;EP Committee;;;1006 EU institutions and European civil service
5128;EP delegation;;;1006 EU institutions and European civil service
4473;EP opinion;;;1011 European Union law
4473;EP reasoned opinion;USE;EP opinion;1011 European Union law
3494;EP resolution;;;1011 European Union law
421;EPA;USE;European Association of National Productivity Centres;7611 European organisations
c_bb1a60eb;EPE;USE;environmental cost;5206 environmental policy
2123;EPO;USE;European Patent Office;7611 European organisations
7928;EPSO;;;1006 EU institutions and European civil service
7985;ERA;USE;European Union Agency for Railways;1006 EU institutions and European civil service
441001;ERCEA ;USE;executive agency;1006 EU institutions and European civil service
1056;ERDF;USE;European Regional Development Fund;1021 EU finance
1056;ERDF aid;USE;European Regional Development Fund;1021 EU finance
1850;ERM;USE;exchange-rate mechanism;2406 monetary relations
c_406ad4cc;ERM;USE;risk management;4021 management
434938;ERU;USE;joint implementation;5206 environmental policy
2829;ESA;USE;European Space Agency;7611 European organisations
388;ESA;USE;Euratom Supply Agency;1016 European construction
4369;ESA;USE;European accounting system;1626 national accounts
5129;ESC opinion;;;1011 European Union law
8386;ESCAP;USE;UN regional commission;7606 United Nations
5883;ESCB;USE;European System of Central Banks;2411 monetary economics
8386;ESCWA;USE;UN regional commission;7606 United Nations
6709;ESDP;USE;common security and defence policy;1016 European construction
4056;ESF;USE;European Social Fund;1021 EU finance
4056;ESF aid;USE;European Social Fund;1021 EU finance
c_8f89faac;ESFS;USE;financial supervision;2421 free movement of capital
c_b54dc55a;ESI Funds;USE;European Structural and Investment Funds;1021 EU finance
c_b54dc55a;ESIF;USE;European Structural and Investment Funds;1021 EU finance
c_b54dc55a;ESIF financial instruments;USE;European Structural and Investment Funds;1021 EU finance
c_062f6587;ESM;USE;European Stability Mechanism;2406 monetary relations
c_96124aaf;ESMA;USE;European Securities and Markets Authority;1006 EU institutions and European civil service
6091;ESO;USE;European standardisation body;7611 European organisations
c_a3b85311;ESRB;USE;European Systemic Risk Board;2421 free movement of capital
2829;ESRO;USE;European Space Agency;7611 European organisations
c_2a1a9fdc;ETC;USE;European territorial cooperation;1616 regions and regional policy
5642;ETF;USE;European Training Foundation;1006 EU institutions and European civil service
434843;ETS;USE;emission trading;5206 environmental policy
6095;ETSI;;;7611 European organisations
5370;ETUC;USE;European Trade Union Confederation;7611 European organisations
5370;ETUC;USE;European Trade Union Confederation;7626 non-governmental organisations
1449;ETUI-REHS;USE;European Trade Union Institute;7611 European organisations
1449;ETUI-REHS;USE;European Trade Union Institute;7626 non-governmental organisations
6725;EU Accession Treaty;;;1011 European Union law
5769;EU Agencies and decentralised bodies;USE;EU office or agency;1006 EU institutions and European civil service
c_8a658bb0;EU Agency for Large-Scale IT Systems;USE;European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice;1006 EU institutions and European civil service
6286;EU Charter of Fundamental Rights;;;1016 European construction
4038;EU Commission;USE;European Commission;1006 EU institutions and European civil service
7127;EU Constitution;USE;European Constitution;1011 European Union law
114;EU Council;USE;Council of the European Union;1006 EU institutions and European civil service
5806;EU Council Presidency;;;1006 EU institutions and European civil service
6053;EU Council committee;;;1006 EU institutions and European civil service
434880;EU ETS;USE;EU Emissions Trading Scheme;5206 environmental policy
3140;EU Eco-Management and Audit Scheme;USE;environmental monitoring;5206 environmental policy
434880;EU Emissions Trading Scheme;;;5206 environmental policy
5283;EU Member State;;;7231 economic geography
8475;EU Military Committee;;;1016 European construction
8477;EU Military Staff;;;1016 European construction
3032;EU Official Journal;;;3221 documentation
5675;EU Strategy for jobs and growth;USE;EU growth strategy;1016 European construction
c_8f89faac;EU Supervisory Framework;USE;financial supervision;2421 free movement of capital
4068;EU Treaty;USE;Treaty on European Union;1011 European Union law
6725;EU Treaty of Accession;USE;EU Accession Treaty;1011 European Union law
c_c385cfb4;EU acceding countries;;;7231 economic geography
12;EU accession;USE;accession to the European Union;1016 European construction
5258;EU act;;;1011 European Union law
5413;EU action;;;1016 European construction
5418;EU activity;;;1016 European construction
1789;EU agricultural market;;;5606 agricultural policy
6048;EU agriculture committee;;;5606 agricultural policy
862;EU aid;;;1606 economic policy
c_af502da0;EU alert system;;;0431 politics and public safety
c_c565cff5;EU banking union;;;2411 monetary economics
c_8d31aed6;EU blue growth strategy;USE;integrated maritime policy;1016 European construction
2163;EU body;;;1006 EU institutions and European civil service
5761;EU body for police and judicial cooperation;;;1016 European construction
738;EU borrowing;;;1021 EU finance
438855;EU budget;;;1021 EU finance
c_2b2e17b1;EU candidate countries;;;7231 economic geography
c_2e08d60f;EU civilian mission;;;1016 European construction
c_2e08d60f;EU civilian operation;USE;EU civilian mission;1016 European construction
36;EU competence;;;1011 European Union law
435330;EU competition policy;;;4031 competition
4125;EU control;;;1011 European Union law
5283;EU country;USE;EU Member State;7231 economic geography
5842;EU customs procedure;;;2011 tariff policy
447503;EU delegation to Third Countries;USE;Union delegation;1006 EU institutions and European civil service
447503;EU delegation to international organisations;USE;Union delegation;1006 EU institutions and European civil service
c_8b0ac3e2;EU direct payments;;;5606 agricultural policy
435007;EU emission allowance;;;5206 environmental policy
2454;EU employment policy;;;4406 employment
c_d8d35f08;EU energy policy;;;6606 energy policy
c_d8d35f08;EU energy strategy;USE;EU energy policy;6606 energy policy
5794;EU environment policy;USE;EU environmental policy;5206 environmental policy
5794;EU environmental policy;;;5206 environmental policy
5576;EU expenditure;;;1021 EU finance
1460;EU financial instrument;;;1021 EU finance
1005;EU financing;;;1021 EU finance
5844;EU financing arrangements;;;1021 EU finance
3866;EU fine;USE;sanction (EU);1011 European Union law
3866;EU fining policy;USE;sanction (EU);1011 European Union law
5675;EU growth strategy;;;1016 European construction
3617;EU industrial policy;;;6806 industrial structures and policy
5674;EU initiative;;;1016 European construction
1451;EU institution;;;1006 EU institutions and European civil service
1490;EU investment;;;2426 financing and investment
525;EU law;;;1011 European Union law
435196;EU law - international law;;;1231 international law
5127;EU law - national law;;;1011 European Union law
5258;EU legal act;USE;EU act;1011 European Union law
4017;EU legal system;;;1011 European Union law
5606;EU legislative procedure;USE;drafting of EU law;1011 European Union law
441716;EU loan;;;1021 EU finance
c_4d5b6dbd;EU macro-financial assistance;USE;macro-financial assistance;1021 EU finance
c_f05a3667;EU macro-regional policy;USE;EU macroregional policy;1616 regions and regional policy
c_f05a3667;EU macroregional policy;;;1616 regions and regional policy
c_f05a3667;EU macroregional strategy;USE;EU macroregional policy;1616 regions and regional policy
c_8d31aed6;EU maritime policy;USE;integrated maritime policy;1016 European construction
1795;EU market;;;2006 trade policy
6541;EU migration policy;;;2811 migration
8482;EU military mission;;;1016 European construction
8482;EU military operation;USE;EU military mission;1016 European construction
3526;EU national;;;1231 international law
5769;EU office or agency;;;1006 EU institutions and European civil service
1048;EU official;USE;European official;1006 EU institutions and European civil service
3866;EU pecuniary sanction;USE;sanction (EU);1011 European Union law
3866;EU penalty payment;USE;sanction (EU);1011 European Union law
5552;EU police and customs cooperation;USE;EU police cooperation;1016 European construction
5552;EU police cooperation;;;1016 European construction
8481;EU police mission;;;1016 European construction
8481;EU police operation;USE;EU police mission;1016 European construction
2451;EU policy;;;1016 European construction
6218;EU policy - national policy;;;1016 European construction
2713;EU production;;;6406 production
5315;EU programme;;;1016 European construction
4031;EU protocol;USE;Protocol (EU);1011 European Union law
2860;EU publication;;;3221 documentation
c_af502da0;EU rapid arlert system;USE;EU alert system;0431 politics and public safety
c_8c634c9b;EU reference laboratory;;;2841 health
2516;EU regional policy;;;1616 regions and regional policy
4040;EU relations;;;1016 European construction
3656;EU research policy;;;6416 research and intellectual property
c_1c478aa5;EU restrictive measure;;;1016 European construction
c_1c478aa5;EU sanction or restrictive measure;USE;EU restrictive measure;1016 European construction
3299;EU single market;USE;single market;1016 European construction
4183;EU situation;;;1016 European construction
5772;EU sponsorship;;;1016 European construction
c_d6ede0c7;EU sport policy;;;2826 social affairs
4258;EU statistics;;;1631 economic analysis
4281;EU stock;;;6406 production
c_59f9c651;EU strategy;;;1016 European construction
5675;EU strategy for jobs and smart, sustainable and inclusive growth;USE;EU growth strategy;1016 European construction
5675;EU strategy for smart, sustainable and inclusive growth;USE;EU growth strategy;1016 European construction
c_65366e84;EU study report;;;3221 documentation
5251;EU temporary staff;USE;servant (EU);1006 EU institutions and European civil service
3666;EU trade mark;;;6416 research and intellectual property
2457;EU transport policy;USE;common transport policy;4806 transport policy
4479;EU treaties;USE;European treaties;1011 European Union law
598;EU waters;;;1231 international law
8476;EU-NATO cooperation;;;1016 European construction
5427;EU-OSHA;USE;European Agency for Safety and Health at Work;1006 EU institutions and European civil service
1474;EU-third country agreement;USE;agreement (EU);1016 European construction
435007;EUA;USE;EU emission allowance;5206 environmental policy
6332;EUA;USE;European currency;2406 monetary relations
3718;EUI;USE;European University Institute;7611 European organisations
6128;EUIPO;USE;European Union Intellectual Property Office;1006 EU institutions and European civil service
7953;EUISS;USE;European Union Institute for Security Studies;1016 European construction
6219;EUMC;USE;European Union Agency for Fundamental Rights;1006 EU institutions and European civil service
8475;EUMC;USE;EU Military Committee;1016 European construction
8477;EUMS;USE;EU Military Staff;1016 European construction
8481;EUPM;USE;EU police mission;1016 European construction
8481;EUPOL;USE;EU police mission;1016 European construction
4054;EURES;;;4411 labour market
c_8c634c9b;EURL;USE;EU reference laboratory;2841 health
6358;EURO.X;USE;Ecofin;1006 EU institutions and European civil service
c_e9845504;EUSA;USE;European School of Administration;1006 EU institutions and European civil service
7954;EUSC;USE;European Union Satellite Centre;1016 European construction
c_e548b67f;EUSF;USE;European Union Solidarity Fund;1021 EU finance
3666;EUTM;USE;EU trade mark;6416 research and intellectual property
c_50620749;EVS;USE;European voluntary service;0811 cooperation policy
5644;EYF;USE;Council of Europe fund;7611 European organisations
c_6547ccb7;EaP;USE;Eastern Partnership;1016 European construction
6083;Earth Summit;USE;UN Conference on Environment and Development;7606 United Nations
357;East Africa;;;7221 Africa
5107;East African Community;;;7616 extra-European organisations
956;East Asia;USE;Far East;7226 Asia and Oceania
1308;East Germany;USE;German Democratic Republic;7236 political geography
5930;East Jerusalem;USE;Palestine;7226 Asia and Oceania
5930;East Jerusalem;USE;Palestine;7231 economic geography
7862;East Latvia;USE;Latgale;7211 regions of EU Member States
6238;East Middle Sweden;;;7211 regions of EU Member States
1905;East Midlands;;;7211 regions of EU Member States
4461;East Timor;;;7226 Asia and Oceania
4461;East Timor;;;7231 economic geography
596;East of England;;;7211 regions of EU Member States
2485;East-West policy;;;0816 international security
3223;East-West relations;;;0806 international affairs
8;East-West trade;;;2021 international trade
956;Eastern Asia;USE;Far East;7226 Asia and Oceania
2291;Eastern Bloc;USE;Eastern Bloc countries;7236 political geography
2291;Eastern Bloc countries;;;7236 political geography
c_de77a2c0;Eastern Croatia;;;7211 regions of EU Member States
914;Eastern Europe;USE;Central and Eastern Europe;7206 Europe
6247;Eastern Finland;;;7211 regions of EU Member States
7892;Eastern Macedonia and Thrace;;;7211 regions of EU Member States
1767;Eastern Malaysia;USE;Malaysia;7226 Asia and Oceania
1767;Eastern Malaysia;USE;Malaysia;7231 economic geography
c_6547ccb7;Eastern Partnership;;;1016 European construction
4621;Eastern Republic of Uruguay;USE;Uruguay;7216 America
4621;Eastern Republic of Uruguay;USE;Uruguay;7231 economic geography
4621;Eastern Republic of Uruguay;USE;Uruguay;7236 political geography
6378;Echelon;USE;espionage;0821 defence
6358;Ecofin;;;1006 EU institutions and European civil service
6358;Ecofin Council;USE;Ecofin;1006 EU institutions and European civil service
2254;Ecology Party;;;0411 political party
8386;Economic Commission for Africa;USE;UN regional commission;7606 United Nations
8386;Economic Commission for Europe;USE;UN regional commission;7606 United Nations
8386;Economic Commission for Latin America and the Caribbean;USE;UN regional commission;7606 United Nations
6159;Economic Community of Central African States;;;7616 extra-European organisations
5341;Economic Community of West African States;;;7616 extra-European organisations
1200;Economic Interest Grouping;;;4016 legal form of organisations
6358;Economic and Financial Affairs Council;USE;Ecofin;1006 EU institutions and European civil service
c_2d0e694e;Economic and Financial Committee;;;2411 monetary economics
4586;Economic and Monetary Community of Central Africa;USE;Central African Economic and Monetary Community;7616 extra-European organisations
4602;Economic and Monetary Union;;;2411 monetary economics
8386;Economic and Social Commission for Asia and the Pacific;USE;UN regional commission;7606 United Nations
8386;Economic and Social Commission for Western Asia;USE;UN regional commission;7606 United Nations
3709;Ecosoc;;;7606 United Nations
5341;Ecowas;USE;Economic Community of West African States;7616 extra-European organisations
5302;Ecowas countries;;;7231 economic geography
6333;Ecu;;;2406 monetary relations
841;Ecuador;;;7216 America
841;Ecuador;;;7231 economic geography
841;Ecuador;;;7236 political geography
1104;Edam;USE;hard cheese;6016 processed agricultural produce
441001;Education, Audiovisual and Culture Executive Agency;USE;executive agency;1006 EU institutions and European civil service
690;Egypt;;;7221 Africa
690;Egypt;;;7231 economic geography
690;Egypt;;;7236 political geography
1504;Eire;USE;Ireland;7206 Europe
1504;Eire;USE;Ireland;7231 economic geography
1504;Eire;USE;Ireland;7236 political geography
691;El Salvador;;;7216 America
691;El Salvador;;;7231 economic geography
691;El Salvador;;;7236 political geography
4583;Ellis Islands;USE;Tuvalu;7226 Asia and Oceania
4583;Ellis Islands;USE;Tuvalu;7231 economic geography
725;Emilia-Romagna;;;7211 regions of EU Member States
1104;Emmenthal;USE;hard cheese;6016 processed agricultural produce
6346;Employment Committee;USE;Employment Committee (EU);4406 employment
6346;Employment Committee (EU);;;4406 employment
6346;Employment and Labour Market Committee;USE;Employment Committee (EU);4406 employment
c_d3334ae3;Energy Community;;;7621 world organisations
5438;England;;;7211 regions of EU Member States
1776;English Channel;;;5211 natural environment
291;English-speaking Africa;;;7221 Africa
1205;English-speaking areas;USE;linguistic group;2821 social framework
1205;English-speaking countries;USE;linguistic group;2821 social framework
839;Epirus;;;7211 regions of EU Member States
302;Equatorial Africa;USE;Central Africa;7221 Africa
4586;Equatorial Customs Union;USE;Central African Economic and Monetary Community;7616 extra-European organisations
1218;Equatorial Guinea;;;7221 Africa
1218;Equatorial Guinea;;;7231 economic geography
5617;Eritrea;;;7221 Africa
